longitude,latitude,OBJECTID,DATE,x,year,CD1____KM_,CD2____KM_,CD3____KM_,CD4____KM_,WD1__G_KM_,WD2__G_KM_,WD3__G_KM_,WD4__G_KM_,SEA_STATE_,SOURCE,INFO,CD4,,
-133.87,37.2,140,16,9,2007,37.2,-133.87,15506.45,18552.36,1107.6,0,2.9,36.88,61.06,0,4,C. Moore,NPG07-M001,0
-133.95,37.18,141,16,9,2007,37.18,-133.95,32472.93,68218.32,14348.5,0,8.84,297.77,1158.28,0,4,C. Moore,NPG07-M002,0
-137.45,38.15,142,18,9,2007,38.15,-137.45,118621.69,97000.01,14282.21,0,13.69,88.07,3654.46,0,3,C. Moore,NPG07-M004,0
-141.77,38.69,143,20,9,2007,38.69,-141.77,17257.5,18881.74,2436.35,0,1.89,35.9,37.76,0,3,C. Moore,NPG07-M005,0
-142.03,38.69,144,20,9,2007,38.69,-142.03,5100.93,14353.77,1660.77,0,1.87,22.04,224.67,0,3,C. Moore,NPG07-M006,0
-142.27,38.64,145,20,9,2007,38.64,-142.27,9619.48,12488.45,928.2,0,1.96,21.26,14.43,0,3,C. Moore,NPG07-M007,0
-143.82,37.87,146,21,9,2007,37.87,-143.82,16235.81,255134.23,11597.01,0,3.71,500.3,361.83,0,4,C. Moore,NPG07-M008,0
-144.84,36.68,147,22,9,2007,36.68,-144.84,82044.72,391763.53,28202.87,0,31.23,788.09,12882.05,0,4,C. Moore,NPG07-M010,0
-145.04,36.51,148,22,9,2007,36.51,-145.04,20917.25,107991.36,7296.71,0,6.32,212.72,40.38,0,3,C. Moore,NPG07-M012,0
-146.96,32.55,149,24,9,2007,32.55,-146.96,22362.54,60773.5,7498.03,0,6.04,454.99,775.32,0,4,C. Moore,NPG07-M013,0
-147.3,32.52,150,24,9,2007,32.52,-147.3,13741.98,61151.82,17177.48,0,4.12,522.88,1100.73,0,4,C. Moore,NPG07-M015,0
-152.61,31.56,151,26,9,2007,31.56,-152.61,5382.34,29710.54,6028.23,0,1.46,411,4039.99,0,3.5,C. Moore,NPG07-M018,0
-153.52,29.45,152,27,9,2007,29.45,-153.52,2016.65,23527.53,5377.72,0,0.81,289.86,494.62,0,4,C. Moore,NPG07-M019,0
-155.66,18.89,153,10,11,7,18.89,-155.66,0,8386.43,0,0,0,61.48,82.57,0,4.5,C. Moore,NPG07-M020,0
-155.7,18.92,154,10,11,7,18.92,-155.7,418.09,1254.26,418.09,0,0.42,1.46,0.42,0,4,C. Moore,NPG07-M021,0
-155.72,18.95,155,10,11,7,18.95,-155.72,721.67,721.67,0,0,0.24,1.92,0,0,4.5,C. Moore,NPG07-M022,0
-155.98,18.16,156,10,11,7,18.16,-155.98,3741.2,1360.44,0,0,2.04,6.12,0,0,5,C. Moore,NPG07-M023,0
-155.18,19.24,157,11,11,7,19.24,-155.18,156.73,1097.09,156.73,0,0.31,3.45,3.76,0,3,C. Moore,NPG07-M024,0
-154.34,19.7,158,12,11,7,19.7,-154.34,221.59,2437.48,1107.94,0,0.22,10.41,25.26,0,3,C. Moore,NPG07-M025,0
-154.44,19.85,159,12,11,7,19.85,-154.44,617.13,2879.93,411.42,0,0.41,10.08,20.57,0,3,C. Moore,NPG07-M026,0
-154.69,19.92,160,12,11,7,19.92,-154.69,1768.14,4641.37,1547.12,0,1.11,28.75,121.56,0,3,C. Moore,NPG07-M027,0
-155.45,19.07,161,24,11,2007,19.07,-155.45,1590.78,3181.56,1590.78,0,0.68,11.82,38.86,0,3,C. Moore,NPG07-M028,0
-155.57,19.01,162,24,11,2007,19.01,-155.57,14048.46,35369.07,1983.31,0,2.5,128.89,31.4,0,4,C. Moore,NPG07-M029,0
-156.09,19.34,163,24,11,2007,19.34,-156.09,26247.9,24283.77,1785.57,0,5.07,26.74,572.1,0,2,C. Moore,NPG07-M030,0
-156,19.9,164,25,11,2007,19.9,-156,0,725.75,0,0,0,1.27,0,0,2,C. Moore,NPG07-M031,0
-156.05,19.29,165,21,1,2008,19.29,-156.05,5713.83,3713.99,0,0,2,3.14,0,0,3,C. Moore,NPG08-M032,0
-160.54,21.65,166,23,1,2008,21.65,-160.54,2149.08,4298.16,5730.88,0,0.72,66.62,10.75,0,4.5,C. Moore,NPG08-M033,0
-160.55,21.65,167,23,1,2008,21.65,-160.55,642.81,1285.61,0,0,1.93,2.05,0,0,4.5,C. Moore,NPG08-M034,0
-160.88,22.01,168,23,1,2008,22.01,-160.88,719.94,2639.79,959.92,0,0.6,23.16,20.64,0,4,C. Moore,NPG08-M035,0
-160.97,22.1,169,23,1,2008,22.1,-160.97,3428.3,20021.26,1371.32,0,1.65,130.69,59.1,0,3,C. Moore,NPG08-M036,0
-161.91,22.96,170,24,1,2008,22.96,-161.91,719.94,3839.69,359.97,0,0.36,49.44,561.8,0,3.5,C. Moore,NPG08-M037,0
-164.48,23.57,171,25,1,2008,23.57,-164.48,151.33,907.97,605.31,0,0.23,38.29,0.83,0,3.5,C. Moore,NPG08-M038,0
-165.41,30.12,172,27,1,2008,30.12,-165.41,11453.63,14609.22,2337.48,0,2.45,94.08,179.05,0,3,C. Moore,NPG08-M039,0
-165.43,30.99,173,27,1,2008,30.99,-165.43,4850.14,31374.33,2121.94,0,1.53,215.22,104.88,0,3,C. Moore,NPG08-M040,0
-165.4,32.01,174,28,1,2008,32.01,-165.4,709.11,18358.04,2994.01,0,0.1,136.78,378.66,0,2.3,C. Moore,NPG08-M041,0
-165.91,32.24,175,28,1,2008,32.24,-165.91,9360.95,32678.24,2042.39,0,1.74,206.83,1399.72,0,3,C. Moore,NPG08-M042,0
-167.59,33.03,176,29,1,2008,33.03,-167.59,29563.75,82555.38,2603.1,0,7.62,770.33,7080.98,0,2.5,C. Moore,NPG08-M043,0
-168.14,33.01,178,29,1,2008,33.01,-168.14,14317.04,27526.21,5028.01,0,3.78,88.62,392.27,0,2.5,C. Moore,NPG08-M045,0
-170.07,32.84,179,30,1,2008,32.84,-170.07,15427.34,7999.36,1371.32,0,2.19,53.02,3126.72,0,3.5,C. Moore,NPG08-M046,0
-169.7,32.56,180,30,1,2008,32.56,-169.7,4249.66,22873.17,1624.87,0,0.87,170.49,54.12,0,4,C. Moore,NPG08-M047,0
-167.99,32.26,181,31,1,2008,32.26,-167.99,12399.01,121590.27,10132.52,0,2.27,630.68,538.56,0,2.5,C. Moore,NPG08-M048,0
-165.81,32.55,182,1,2,8,32.55,-165.81,10496.48,25661.63,4894.06,0,1.77,232.66,1015.68,0,3,C. Moore,NPG08-M049,0
-166.11,32.47,183,1,2,8,32.47,-166.11,0,20071.12,5235.94,0,0,141.25,264.23,0,3,C. Moore,NPG08-M050,0
-165,33.28,184,2,2,8,33.28,-165,287.29,17524.54,2528.13,0,0.11,188.23,241.21,0,2.5,C. Moore,NPG08-M051,0
-162.72,33.76,185,3,2,8,33.76,-162.72,7270.35,37593.05,4433.14,0,1.01,413.35,1389.88,0,5,C. Moore,NPG08-M052,0
-160.42,33.76,186,4,2,8,33.76,-160.42,21459.82,65763.97,11999.04,0,5.31,284.52,170.52,0,2.5,C. Moore,NPG08-M053,0
-157.85,34.51,187,5,2,8,34.51,-157.85,38094.85,97334.87,5538.02,0,11.77,556.82,414.85,0,2.5,C. Moore,NPG08-M054,0
-157.56,36.16,188,6,2,8,36.16,-157.56,3183.82,14725.19,1790.9,0,1.39,83.38,496.48,0,4,C. Moore,NPG08-M055,0
-147.67,35.69,189,9,2,8,35.69,-147.67,54395.65,136889.05,14698.82,0,16.1,862.43,855.73,0,2.5,C. Moore,NPG08-M056,0
-132.57,35.88,190,10,2,8,35.88,-132.57,32809.88,8249.34,9561.74,0,5.81,18.56,64.49,0,1,C. Moore,NPG08-M057,0
-138.51,35.76,191,14,2,2008,35.76,-138.51,164899.09,105488.64,17386.52,0,100.41,408.52,356.49,0,3.5,C. Moore,NPG08-M058,0
-138.77,35.76,192,14,2,2008,35.76,-138.77,59515.24,175528.81,10559.16,0,17.16,631.2,468,0,3,C. Moore,NPG08-M059,0
-139.4,35.89,193,13,2,2008,35.89,-139.4,38298.82,88357.71,14527.14,0,9.25,603.35,16468.56,0,3.3,C. Moore,NPG08-M060,0
-139.82,35.97,194,13,2,2008,35.97,-139.82,32801.28,82038.31,7936.93,0,8.16,246.99,455.23,0,3,C. Moore,NPG08-M061,0
-140.33,36.04,195,13,2,2008,36.04,-140.33,357243,235383.27,61233,0,75.66,402.11,559.43,0,2,C. Moore,NPG08-M062,0
-140.79,36.08,196,13,2,2008,36.08,-140.79,211557.29,238973.39,44254.33,0,50.28,548.32,1137.65,0,2.5,C. Moore,NPG08-M063,0
-140.82,35.84,197,12,2,8,35.84,-140.82,300585.87,350139.78,49024.86,0,64.78,823.72,4586.12,0,2.5,C. Moore,NPG08-M064,0
-141.02,35.38,198,12,2,8,35.38,-141.02,391199.87,254744.74,41887.56,0,64.52,576.8,965.02,0,2,C. Moore,NPG08-M065,0
-141.45,35,199,11,2,8,35,-141.45,101533.05,272201.75,13657.73,0,31.42,899.24,1811.25,0,3,C. Moore,NPG08-M066,0
-141.78,35.91,200,11,2,8,35.91,-141.78,155566.98,290785.1,16380.83,0,45.48,866.86,1627.4,0,3,C. Moore,NPG08-M067,0
-142.08,34.68,201,11,2,8,34.68,-142.08,159155.27,149652.03,16894.65,0,33.71,568.84,10342.26,0,4,C. Moore,NPG08-M068,0
-128.11,25.11,202,15,6,2009,25.11,-128.11,14058.05,12993.04,3834.01,0,3.07,7.22,32.38,0,2,C. Moore,NPG09-M001,0
-128.35,24.22,203,15,6,2009,24.22,-128.35,2491.81,4600.27,766.71,0,0.35,4.6,0.77,0,2,C. Moore,NPG09-M002,0
-130.37,23.57,204,16,6,2009,23.57,-130.37,4561.04,7367.83,2105.09,0,0.67,7.3,9.44,0,3,C. Moore,NPG09-M003,0
-146.39,24.6,205,21,6,2009,24.6,-146.39,1045.21,1254.26,209.04,0,0.22,4.92,23.31,0,5,C. Moore,NPG09-M005,0
-146.48,24.54,206,21,6,2009,24.54,-146.48,1983.31,1873.13,330.55,0,0.24,2.66,114.26,0,5,C. Moore,NPG09-M006,0
-146.67,24.41,207,21,6,2009,24.41,-146.67,210.39,1262.32,420.77,0,0.11,4.73,44.6,0,6,C. Moore,NPG09-M008,0
-146.77,24.36,208,21,6,2009,24.36,-146.77,20725.61,7635.75,0,0,1.67,4.36,0,0,6,C. Moore,NPG09-M009,0
-160.42,23.57,209,30,6,2009,23.57,-160.42,4990.27,8157.17,287.9,0,1.04,22.17,10.84,0,2,C. Moore,NPG09-M016,0
-162.05,29.3,210,3,7,9,29.3,-162.05,55398.79,63140.11,10160.48,0,11.88,343.78,311.83,0,2,C. Moore,NPG09-M017,0
-162.63,29.77,211,3,7,9,29.77,-162.63,32345.24,50343.8,11216.49,0,7.04,237.24,349.67,0,2.5,C. Moore,NPG09-M018,0
-163.23,30.54,212,4,7,9,30.54,-163.23,11958.37,20500.05,1708.34,0,1.22,172.79,147.16,0,2,C. Moore,NPG09-M019,0
-163.99,31.31,213,4,7,9,31.31,-163.99,137693.9,162773.86,14359.51,0,23.8,588.64,1192.43,0,1,C. Moore,NPG09-M020,0
-164.25,31.61,214,4,7,9,31.61,-164.25,25655.84,67099.9,6907.34,0,6.32,449.59,661.33,0,1,C. Moore,NPG09-M021,0
-165.24,32.74,215,5,7,9,32.74,-165.24,80350.71,32318.84,3928.26,0,14.43,171.77,1680.94,0,2,C. Moore,NPG09-M022,0
-169.18,34.37,216,7,7,9,34.37,-169.18,7522.62,21453.39,2089.62,0,1.53,91.8,56.7,0,2,C. Moore,NPG09-M023,0
-170.02,34.39,217,8,7,9,34.39,-170.02,57576.04,71728.13,10886.23,0,10.63,274.7,531.13,0,2,C. Moore,NPG09-M024,0
-171.64,35.06,218,9,7,9,35.06,-171.64,33826.4,38965.56,12732.84,0,5.35,143.53,611.51,0,2,C. Moore,NPG09-M025,0
-171.74,35,219,9,7,9,35,-171.74,25474.15,43091.79,5713.83,0,4.07,90.47,469.01,0,2,C. Moore,NPG09-M026,0
-171.82,35,220,9,7,9,35,-171.82,23981.43,30101.69,4121.81,0,3.25,44.22,8302.32,0,2,C. Moore,NPG09-M027,0
-171.93,35,221,9,7,9,35,-171.93,27815.96,32490.91,3389.34,0,4.82,93.58,309.24,0,2,C. Moore,NPG09-M028,0
-172.95,34.59,222,10,7,9,34.59,-172.95,30274.08,53083.31,1382.38,0,7.88,137.13,155.1,0,2,C. Moore,NPG09-M029,0
-176.4,34.54,223,12,7,9,34.54,-176.4,18313.97,94622.16,18313.97,0,2.42,455.18,857.09,0,0,C. Moore,NPG09-M030,0
-176.44,34.49,224,12,7,9,34.49,-176.44,20444.61,56952.85,13873.13,0,2.77,398.67,5675.57,0,0,C. Moore,NPG09-M031,0
-176.46,34.47,225,12,7,9,34.47,-176.46,9799.58,16985.94,6533.05,0,3.07,32.67,663.76,0,0,C. Moore,NPG09-M032,0
-176.49,34.43,227,12,7,9,34.43,-176.49,81019.16,62559.1,12306.71,0,15.79,9278.23,627.64,0,1,C. Moore,NPG09-M034,0
-179.99,34.01,228,14,7,2009,34.01,-179.99,11051.75,25261.14,0,0,3.16,31.58,0,0,1,C. Moore,NPG09-M035,0
-179.99,34.05,229,14,7,2009,34.05,-179.99,74111.72,280565.79,0,0,20.12,365.26,0,0,1,C. Moore,NPG09-M037,0
-179.99,34.15,230,14,7,2009,34.15,-179.99,17998.56,21598.27,0,0,3.28,21.6,0,0,1,C. Moore,NPG09-M038,0
-179.99,34.16,231,14,7,2009,34.16,-179.99,5454.11,116354.33,7726.65,0,0.86,550.41,449.46,0,1,C. Moore,NPG09-M039,0
-179.86,34.51,232,15,7,2009,34.51,-179.86,1818.04,10302.21,606.01,0,0.11,30.54,9.39,0,1.5,C. Moore,NPG09-M040,0
-179.93,35.1,233,15,7,2009,35.1,-179.93,24283.77,48567.54,4285.37,0,3.09,29.38,38.47,0,1.5,C. Moore,NPG09-M041,0
-179.89,35.38,234,15,7,2009,35.38,-179.89,21628.36,30467.78,2068.8,0,4.7,46.08,51.53,0,2,C. Moore,NPG09-M042,0
-179.87,35.41,235,15,7,2009,35.41,-179.87,15103.69,15103.69,3775.92,0,2.27,37.51,8.68,0,1,C. Moore,NPG09-M043,0
-179.59,36.1,236,16,7,2009,36.1,-179.59,60256.05,99122.5,9651.4,0,7.83,97.3,107.99,0,1,C. Moore,NPG09-M044,0
-179.35,36.48,237,16,7,2009,36.48,-179.35,29997.6,25712.23,4285.37,0,4.3,27.43,57.85,0,2,C. Moore,NPG09-M045,0
-179.38,37.85,238,17,7,2009,37.85,-179.38,505.81,6912.8,1180.23,0,0.17,34.21,12.31,0,1,C. Moore,NPG09-M046,0
-179.75,39.3,239,18,7,2009,39.3,-179.75,11477.34,2086.79,2086.79,0,3.23,4.59,107.99,0,1,C. Moore,NPG09-M047,0
-179.74,39.31,240,18,7,2009,39.31,-179.74,85587.56,181873.56,10698.44,0,16.99,246.63,60.41,0,1,C. Moore,NPG09-M048,0
-178.91,40.31,241,19,7,2009,40.31,-178.91,16455.83,53481.44,4113.96,0,5.97,80.22,26.74,0,2,C. Moore,NPG09-M049,0
-178.71,40.49,242,19,7,2009,40.49,-178.71,13845.05,31382.1,2769.01,0,2.77,92.3,30.46,0,2,C. Moore,NPG09-M050,0
-158.98,25.63,243,9,9,9,25.63,-158.98,13405.52,17800.77,439.53,0,1.98,35.38,10.55,0,4,C. Moore,NPG09-M051,0
-160.31,28.01,244,11,9,9,28.01,-160.31,232634.45,69048.64,8770.88,0,31.98,163.15,231.07,0,3,C. Moore,NPG09-M052,0
-160.3,26.65,245,11,9,9,26.65,-160.3,206456.97,44479.77,8659.78,0,23.5,77.37,86.46,0,2,C. Moore,NPG09-M053,0
-160.24,31.16,246,13,9,2009,31.16,-160.24,223307.2,180074.92,21973.43,0,23.95,283.88,280.12,0,2,C. Moore,NPG09-M054,0
-160.1,31.15,247,13,9,2009,31.15,-160.1,478350.99,218841.55,65028.35,0,57.82,1006.35,1875.55,0,2,C. Moore,NPG09-M055,0
-159.98,31.15,248,13,9,2009,31.15,-159.98,155428.8,91801.12,10762.89,0,16.76,282.57,158.33,0,2,C. Moore,NPG09-M056,0
-158.69,30.81,249,17,9,2009,30.81,-158.69,46548,39730.36,705.27,0,5.48,216.92,61.69,0,2,C. Moore,NPG09-M057,0
-158.73,31.31,250,17,9,2009,31.31,-158.73,0,1993.75,1079.95,0,0,5.32,7.89,0,3,C. Moore,NPG09-M058,0
-159.01,32.01,251,18,9,2009,32.01,-159.01,234356.25,124115.07,11624.07,0,36.99,475.87,195.4,0,1,C. Moore,NPG09-M059,0
-159.92,32.5,252,18,9,2009,32.5,-159.92,62482.95,63832.89,5592.61,0,9.08,198.83,113.57,0,2,C. Moore,NPG09-M060,0
-159.96,32.55,253,18,9,2009,32.55,-159.96,25165.27,53026.82,4673.55,0,5.66,2205.2,3744.39,0,2,C. Moore,NPG09-M061,0
-159.25,33.14,254,19,9,2009,33.14,-159.25,34033.64,23998.08,1963.48,0,2.44,177.54,74.44,0,4,C. Moore,NPG09-M062,0
-159.23,33.18,255,19,9,2009,33.18,-159.23,24076.76,25020.95,4484.89,0,3,113.44,3448.41,0,4,C. Moore,NPG09-M063,0
-144.35,34.29,256,24,9,2009,34.29,-144.35,102332.95,233158.6,25683.56,0,26.61,1028.63,5169.62,0,2,C. Moore,NPG09-M065,0
-143.71,34.37,257,24,9,2009,34.37,-143.71,82359.48,389901.84,27118.37,0,16.29,4020.29,4608.68,0,3,C. Moore,NPG09-M066,0
-142.08,34.67,258,25,9,2009,34.67,-142.08,43732.77,217784.78,10109.08,0,11.1,1133.98,979.7,0,4,C. Moore,NPG09-M067,0
-141.9,34.93,259,25,9,2009,34.93,-141.9,4331.36,50688.63,4097.23,0,1.87,378.82,877.74,0,5.5,C. Moore,NPG09-M068,0
-141.43,35.01,260,26,9,2009,35.01,-141.43,25281.4,157078.34,11870.71,0,6.28,1234.62,6174.96,0,5.5,C. Moore,NPG09-M069,0
-141.02,35.38,261,26,9,2009,35.38,-141.02,12176.97,80178.94,7228.34,0,2.66,876.02,4954.14,0,5.5,C. Moore,NPG09-M070,0
-140.82,35.84,262,26,9,2009,35.84,-140.82,6341.89,145774.85,19779.61,0,0.93,1316.23,4521.02,0,5,C. Moore,NPG09-M071,0
-140.83,36.07,263,27,9,2009,36.07,-140.83,15049.64,200119.58,8541.69,0,5.02,1352.16,8788.18,0,5,C. Moore,NPG09-M072,0
-140.32,36.04,264,27,9,2009,36.04,-140.32,19181.16,326223.9,10960.66,0,12.69,1739.7,1277.21,0,5,C. Moore,NPG09-M073,0
-140.15,36.01,265,27,9,2009,36.01,-140.15,99772.24,354257.37,18899.59,0,26.65,1708,7013.94,0,5,C. Moore,NPG09-M074,0
-139.99,35.98,266,27,9,2009,35.98,-139.99,64136.84,109045.4,5302.15,0,6.84,830.07,11642.94,0,5,C. Moore,NPG09-M075,0
-139.77,35.93,267,27,9,2009,35.93,-139.77,20349.25,73295.57,8484.17,0,3.06,805.56,8079.16,0,5,C. Moore,NPG09-M076,0
-139.2,35.69,268,28,9,2009,35.69,-139.2,0,39715.13,3380.01,0,0,336.24,1635.57,0,5,C. Moore,NPG09-M077,0
-142.29,34.65,269,25,9,2009,34.65,-142.29,88881.78,286396.84,25183.17,0,20.22,1953.03,1812.97,0,2,C. Moore,NPG09-M078,0
-146.9,30.83,491,21,5,2009,30.83,-146.9,0,0,0,34.96,0,0,0,40130.15,0,H. Carson,ENPG 2009,34.96
-144.92,33.54,492,22,5,2009,33.54,-144.92,0,0,0,17.48,0,0,0,20252.1,0,H. Carson,ENPG 2009,17.48
-142.93,36.25,493,23,5,2009,36.25,-142.93,0,0,0,43.49,0,0,0,50315.89,0,H. Carson,ENPG 2009,43.49
-137.17,36.45,494,25,5,2009,36.45,-137.17,0,0,0,43.7,0,0,0,19616.64,0,H. Carson,ENPG 2009,43.7
-158.03,25.67,495,19,7,2009,25.67,-158.03,0,0,0,2.1,0,0,0,4284.53,0,H. Carson,ENPG 2009,2.1
-157.35,28.37,496,20,7,2009,28.37,-157.35,0,0,0,5.22,0,0,0,3867.61,0,H. Carson,ENPG 2009,5.22
-155.17,33.65,497,22,7,2009,33.65,-155.17,0,0,0,10.16,0,0,0,4198.36,0,H. Carson,ENPG 2009,10.16
-151.12,34.93,498,23,7,2009,34.93,-151.12,0,0,0,17.62,0,0,0,16169.93,0,H. Carson,ENPG 2009,17.62
-147.03,36.12,499,24,7,2009,36.12,-147.03,0,0,0,26.26,0,0,0,34712.57,0,H. Carson,ENPG 2009,26.26
-142.1,37.48,500,25,7,2009,37.48,-142.1,0,0,0,5.33,0,0,0,6109.85,0,H. Carson,ENPG 2009,5.33
-138,37.85,501,26,7,2009,37.85,-138,0,0,0,0.61,0,0,0,277.21,0,H. Carson,ENPG 2009,0.61
-154.2,27.57,502,23,7,2009,27.57,-154.2,0,0,0,1.64,0,0,0,98.82,0,H. Carson,ENPG 2009,1.64
-150.62,29.73,503,25,7,2009,29.73,-150.62,0,0,0,10.45,0,0,0,4750.31,0,H. Carson,ENPG 2009,10.45
-148.8,31.07,504,26,7,2009,31.07,-148.8,0,0,0,9.23,0,0,0,8854.48,0,H. Carson,ENPG 2009,9.23
-147.42,32.57,505,27,7,2009,32.57,-147.42,0,0,0,4.51,0,0,0,3879.38,0,H. Carson,ENPG 2009,4.51
-145.82,34.43,506,28,7,2009,34.43,-145.82,0,0,0,5.31,0,0,0,3546.05,0,H. Carson,ENPG 2009,5.31
-144.9,36.5,507,29,7,2009,36.5,-144.9,0,0,0,9.21,0,0,0,7447.62,0,H. Carson,ENPG 2009,9.21
